Academic Yr,DegLvl,DegLvlDesc,All Major Acad Hier Level Nm,Reporting Clg School Short Nm,Academic Division Short Nm,Academic Department Short Nm,Major Short Nm,Student Headcount,Prorated Degrees Awarded Cnt
1983-84,1,Bachelor,All,Clg of Chemistry,Clg of Chemistry,Chem & Biomolecular Eng,Chemical Engineering,123,123
1983-84,1,Bachelor,All,Clg of Chemistry,Clg of Chemistry,Chemistry,Chemistry,42,42
1983-84,1,Bachelor,All,Clg of Chemistry,Clg of Chemistry,Other Chemistry Programs,Chemistry Limited,1,1
1983-84,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Bioengineering,Bioengineering,4,4
1983-84,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,Civil Engineering,78,76.5
1983-84,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,Petroleum Engineering,2,2
1983-84,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci,224,220.5
1983-84,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Engineering Science,Eng Math & Statistics,1,1
1983-84,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Engineering Science,Engineering Geoscience,1,1
1983-84,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Engineering Science,Engineering Physics,7,7
1983-84,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Engineering Science,Manufacturing Engineering,2,2
1983-84,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Industrial Eng & Ops Research,Industrial Eng & Ops Rsch,22,21
1983-84,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Materials Science & Eng,Materials Science & Eng,23,15.5
1983-84,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Materials Science & Eng,Mineral Engineering,2,2
1983-84,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Mechanical Engineering,Mechanical Engineering,151,145.5
1983-84,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Nuclear Engineering,Nuclear Engineering,23,18
1983-84,1,Bachelor,All,Clg of Environmental Design,Clg of Environmental Design,Architecture,Architecture,203,203
1983-84,1,Bachelor,All,Clg of Environmental Design,Clg of Environmental Design,Landscape Arch & Env Plan,Landscape Architecture,24,24
1983-84,1,Bachelor,All,Clg of Environmental Design,Clg of Environmental Design,Other Env Design Programs,CED Individual Major,7,7
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Administered Programs,L&S Chemistry,L&S Chemistry,14,13.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science,182,170.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Administered Programs,L&S Legal Studies,L&S Legal Studies,64,62.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Administered Programs,L&S Social Welfare,L&S Social Welfare,58,53
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Art Practice,Art,46,44.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Classics,Classical Languages,6,5.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Classics,Greek,4,4
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Classics,Latin,2,2
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Comparative Literature,Comparative Literature,17,16.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,East Asian Lang & Culture,East Asian Languages,13,11.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,English,English,311,294.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Film and Media,Film,12,11
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,French,French,60,46
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,German,Dutch Studies,1,1
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,German,German,13,11.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,History of Art,History of Art,39,36.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Italian Studies,Italian,4,4
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Music,Music,19,18.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Near Eastern Studies,Ancnt NE Archae & Art Hist,3,3
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Near Eastern Studies,Near Eastern Studies,5,4
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Other Arts & Humanities Pgms,Humanities Field Major,27,26.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Philosophy,Philosophy,47,44
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Rhetoric,Rhetoric,42,35.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Scandinavian,Scandinavian,4,3.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Slavic Languages & Literatures,Slavic Lang & Lit,14,11.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,South & SE Asian Studies,South & SE Asian Studies,1,1
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Spanish & Portuguese,Spanish-Spanish Lang & Lit,31,26.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Theater Dance & Perf Stds,Dramatic Art,23,21
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Theater Dance & Perf Stds,Dramatic Art - Dance,4,4
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Biological Sciences Div,Integrative Biology,Botany,5,5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Biological Sciences Div,Integrative Biology,Human Biodynamics,43,41.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Biological Sciences Div,Integrative Biology,Paleontology,4,3.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Biological Sciences Div,Integrative Biology,Physiology,80,77.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Biological Sciences Div,Integrative Biology,Zoology,24,23.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,Biochemistry,73,68.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,Biophysics,18,18
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,L&S Genetics,38,37.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,Microbiology,35,33.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,Molecular Biology,34,33
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,Neurobiology,15,15
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Biological Sciences Div,Other Bio Sciences Pgms,BioSci-Ecology,19,19
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Biological Sciences Div,Other Bio Sciences Pgms,BioSci-Functional Bio,37,36.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Biological Sciences Div,Other Bio Sciences Pgms,BioSci-Marine Biology,8,8
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Biological Sciences Div,Other Bio Sciences Pgms,Biological Sciences,4,4
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Biological Sciences Div,Other Bio Sciences Pgms,Biophy-Med Phys,20,18.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Biological Sciences Div,Other Bio Sciences Pgms,Health Arts and Sciences,7,7
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Math & Phys Sciences Div,Astronomy,Astronomy,6,4
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Math & Phys Sciences Div,Earth & Planetary Science,Earth Science,7,6.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Math & Phys Sciences Div,Earth & Planetary Science,Geology,21,21
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Math & Phys Sciences Div,Earth & Planetary Science,Geophysics,9,9
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Math & Phys Sciences Div,Mathematics,Applied Mathematics,96,88
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Math & Phys Sciences Div,Mathematics,Mathematics,42,35.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Math & Phys Sciences Div,Other Math & Physical Sci Pgms,Physical Sci Field Major,17,17
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Math & Phys Sciences Div,Physics,Physics,82,69
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Math & Phys Sciences Div,Statistics,Statistics,27,23
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Social Sciences Division,African American Studies,Afr Amer Stds-Humanities,1,0.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Social Sciences Division,African American Studies,Afr Amer Stds-Social Sci,2,2
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Social Sciences Division,Anthropology,Anthropology,93,88
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Social Sciences Division,Economics,Economics,208,181.333333333333
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Social Sciences Division,Ethnic Studies,Asian American Studies,7,7
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Social Sciences Division,Ethnic Studies,Chicano Studies,6,6
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Social Sciences Division,Ethnic Studies,Ethnic Studies,11,11
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Social Sciences Division,Ethnic Studies,Native American Studies,7,6.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Social Sciences Division,Gender & Womens Studies,Womens Studies,11,9.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Social Sciences Division,Geography,Geography,40,39
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Social Sciences Division,History,History,229,216.333333333333
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Asian Studies,1,1
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Asian Studies - China,3,2.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Asian Studies - Japan,4,3
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Development Studies,22,20
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Latin American Studies,9,8
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Middle Eastern Studies,5,3.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Pol Econ of Indust Soc,108,103.333333333333
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Social Sciences Division,Linguistics,Linguistics,26,23.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Social Sciences Division,Other Social Sciences Programs,Social Sciences Field Maj,123,122.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Social Sciences Division,Political Science,Political Science,339,314.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Social Sciences Division,Psychology,Psychology,216,199.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Social Sciences Division,Sociology,Sociology,104,95
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Undeclared,L&S Undeclared,Letters & Sci Undeclared,1,1
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Undergrad Studies Division,UG Interdisciplinary Studies,Environ Sci-Biol Sci,9,8.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Undergrad Studies Division,UG Interdisciplinary Studies,Environ Sci-Soc Sci,5,4.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Undergrad Studies Division,UG Interdisciplinary Studies,L&S Environmental Studies,2,2
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Undergrad Studies Division,UG Interdisciplinary Studies,L&S Individual Major,41,38.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Undergrad Studies Division,UG Interdisciplinary Studies,Mass Communications,40,35.5
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Undergrad Studies Division,UG Interdisciplinary Studies,Mathematics for Teachers,2,2
1983-84,1,Bachelor,All,Clg of Letters & Science,L&S Undergrad Studies Division,UG Interdisciplinary Studies,Religious Studies,7,6
1983-84,1,Bachelor,All,Clg of Natural Resources,Clg of Natural Resources,Ag & Resource Econ & Pol,Pol Econ of Nat Resources,58,58
1983-84,1,Bachelor,All,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",Bioresource Sciences,14,14
1983-84,1,Bachelor,All,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",Conserv & Resource Stds,29,29
1983-84,1,Bachelor,All,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",Conservation of Nat Res,58,58
1983-84,1,Bachelor,All,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",Entomology,4,4
1983-84,1,Bachelor,All,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",Forestry,26,26
1983-84,1,Bachelor,All,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",Pest Management,3,3
1983-84,1,Bachelor,All,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",Plant & Soil Biology,2,2
1983-84,1,Bachelor,All,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",Soil Resource Management,1,1
1983-84,1,Bachelor,All,Clg of Natural Resources,Clg of Natural Resources,"Env Sci, Policy, & Mgmt",Soils & Plant Resources,1,1
1983-84,1,Bachelor,All,Clg of Natural Resources,Clg of Natural Resources,Nutritional Sciences & Tox,"Food, Nutrition, & Diet",3,3
1983-84,1,Bachelor,All,Clg of Natural Resources,Clg of Natural Resources,Nutritional Sciences & Tox,Nutrition & Clinical Diet,14,14
1983-84,1,Bachelor,All,Clg of Natural Resources,Clg of Natural Resources,Nutritional Sciences & Tox,Nutrition & Food Science,31,31
1983-84,1,Bachelor,All,Clg of Natural Resources,Clg of Natural Resources,Other Clg of Natural Res Pgms,Biology of Natural Res,1,1
1983-84,1,Bachelor,All,Clg of Natural Resources,Clg of Natural Resources,Other Clg of Natural Res Pgms,Genetics,14,14
1983-84,1,Bachelor,All,Clg of Natural Resources,Clg of Natural Resources,Wood Science & Tech Grad Grp,Wood Science & Technology,3,3
1983-84,1,Bachelor,All,Grad School of Journalism,Grad School of Journalism,Journalism,Journalism,1,1
1983-84,1,Bachelor,All,Haas School of Business,Haas School of Business,Business,Business Administration,305,305
1983-84,1,Bachelor,All,Other EVCP Programs,Other EVCP Programs,Other EVCP Programs,Unaffiliated Indiv Major,1,1
1983-84,1,Bachelor,All,School of Optometry,School of Optometry,Optometry,Optometry,49,49
1984-85,1,Bachelor,All,Clg of Chemistry,Clg of Chemistry,Chem & Biomolecular Eng,Chemical Engineering,100,100
1984-85,1,Bachelor,All,Clg of Chemistry,Clg of Chemistry,Chemistry,Chemistry,45,45
1984-85,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Bioengineering,Bioengineering,14,14
1984-85,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Civil & Environmental Eng,Civil Engineering,79,78.5
1984-85,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Electrical Eng & Computer Sci,Electrical Eng & Comp Sci,189,185
1984-85,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Engineering Science,Eng Math & Statistics,2,2
1984-85,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Engineering Science,Engineering Geoscience,2,2
1984-85,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Engineering Science,Engineering Physics,16,16
1984-85,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Engineering Science,Manufacturing Engineering,5,5
1984-85,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Industrial Eng & Ops Research,Industrial Eng & Ops Rsch,31,31
1984-85,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Materials Science & Eng,Materials Science & Eng,22,17
1984-85,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Materials Science & Eng,Mineral Engineering,4,4
1984-85,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Mechanical Engineering,Mechanical Engineering,119,117
1984-85,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Mechanical Engineering,Naval Architecture,7,7
1984-85,1,Bachelor,All,Clg of Engineering,Clg of Engineering,Nuclear Engineering,Nuclear Engineering,14,11.5
1984-85,1,Bachelor,All,Clg of Environmental Design,Clg of Environmental Design,Architecture,Architecture,186,186
1984-85,1,Bachelor,All,Clg of Environmental Design,Clg of Environmental Design,Landscape Arch & Env Plan,Landscape Architecture,11,11
1984-85,1,Bachelor,All,Clg of Environmental Design,Clg of Environmental Design,Other Env Design Programs,CED Individual Major,6,6
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Administered Programs,L&S Chemistry,L&S Chemistry,5,4.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science,128,118.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Administered Programs,L&S Legal Studies,L&S Legal Studies,55,53
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Administered Programs,L&S Social Welfare,L&S Social Welfare,52,45.8333333333333
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Art Practice,Art,56,53.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Classics,Classical Languages,7,6.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Comparative Literature,Comparative Literature,32,31.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,East Asian Lang & Culture,East Asian Languages,20,18
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,English,English,294,279.833333333333
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Film and Media,Film,12,10.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,French,French,64,49
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,German,Dutch Studies,1,0.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,German,German,20,14
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,History of Art,History of Art,34,32
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Italian Studies,Italian,10,9
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Music,Music,20,19.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Near Eastern Studies,Ancnt NE Archae & Art Hist,2,2
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Near Eastern Studies,Near Eastern Studies,8,6.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Other Arts & Humanities Pgms,Humanities Field Major,34,33.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Philosophy,Philosophy,42,39.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Rhetoric,Rhetoric,58,54
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Scandinavian,Scandinavian,3,2
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Slavic Languages & Literatures,Slavic Lang & Lit,11,9
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Spanish & Portuguese,Spanish-Luso-Brazil Lang & Lit,1,1
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Spanish & Portuguese,Spanish-Spanish Lang & Lit,25,23.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Theater Dance & Perf Stds,Dramatic Art,17,15.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Arts & Humanities Division,Theater Dance & Perf Stds,Dramatic Art - Dance,7,6
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Biological Sciences Div,Integrative Biology,Botany,7,6.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Biological Sciences Div,Integrative Biology,Human Biodynamics,30,28
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Biological Sciences Div,Integrative Biology,Paleontology,3,3
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Biological Sciences Div,Integrative Biology,Physiology,59,53.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Biological Sciences Div,Integrative Biology,Zoology,24,23.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,Bacteriology,1,0.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,Biochemistry,89,87
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,Biophysics,19,18.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,L&S Genetics,38,33
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,Microbiology,36,34
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,Molecular Biology,52,48.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Biological Sciences Div,Molecular & Cell Biology,Neurobiology,15,14.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Biological Sciences Div,Other Bio Sciences Pgms,BioSci-Ecology,12,10.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Biological Sciences Div,Other Bio Sciences Pgms,BioSci-Functional Bio,51,49
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Biological Sciences Div,Other Bio Sciences Pgms,BioSci-Marine Biology,9,8.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Biological Sciences Div,Other Bio Sciences Pgms,BioSci-System & Evol Bio,4,3.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Biological Sciences Div,Other Bio Sciences Pgms,Biological Sciences,2,2
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Biological Sciences Div,Other Bio Sciences Pgms,Biophy-Med Phys,13,12.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Biological Sciences Div,Other Bio Sciences Pgms,Health Arts and Sciences,1,1
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Math & Phys Sciences Div,Astronomy,Astronomy,11,8.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Math & Phys Sciences Div,Earth & Planetary Science,Earth Science,6,6
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Math & Phys Sciences Div,Earth & Planetary Science,Geology,23,22.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Math & Phys Sciences Div,Earth & Planetary Science,Geophysics,12,11.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Math & Phys Sciences Div,Mathematics,Applied Mathematics,104,90
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Math & Phys Sciences Div,Mathematics,Mathematics,47,39
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Math & Phys Sciences Div,Other Math & Physical Sci Pgms,Physical Sci Field Major,9,8.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Math & Phys Sciences Div,Physics,Physics,74,64.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Math & Phys Sciences Div,Statistics,Statistics,31,26.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Social Sciences Division,African American Studies,Afr Amer Stds-Social Sci,1,1
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Social Sciences Division,Anthropology,Anthropology,62,57
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Social Sciences Division,Economics,Economics,199,179
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Social Sciences Division,Ethnic Studies,Asian American Studies,2,2
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Social Sciences Division,Ethnic Studies,Chicano Studies,4,4
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Social Sciences Division,Ethnic Studies,Ethnic Studies,12,12
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Social Sciences Division,Ethnic Studies,Native American Studies,3,3
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Social Sciences Division,Gender & Womens Studies,Womens Studies,11,8.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Social Sciences Division,Geography,Geography,40,39.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Social Sciences Division,History,History,212,193.833333333333
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Asian Studies - China,7,6.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Asian Studies - Japan,8,8
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Development Studies,18,16
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Latin American Studies,11,9.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Middle Eastern Studies,7,6.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Peace & Conflict Studies,3,3
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Social Sciences Division,Interdisc Social Science Pgms,Pol Econ of Indust Soc,123,118.833333333333
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Social Sciences Division,Linguistics,Linguistics,38,34.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Social Sciences Division,Other Social Sciences Programs,Social Sciences Field Maj,103,101
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Social Sciences Division,Political Science,Political Science,339,317
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Social Sciences Division,Psychology,Psychology,203,189.333333333333
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Social Sciences Division,Sociology,Sociology,88,82
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Undeclared,L&S Undeclared,Letters & Sci Undeclared,1,1
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Undergrad Studies Division,UG Interdisciplinary Studies,Environ Sci-Biol Sci,16,16
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Undergrad Studies Division,UG Interdisciplinary Studies,Environ Sci-Physical Sci,4,4
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Undergrad Studies Division,UG Interdisciplinary Studies,Environ Sci-Soc Sci,5,4.5
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Undergrad Studies Division,UG Interdisciplinary Studies,L&S Individual Major,24,23.3333333333333
1984-85,1,Bachelor,All,Clg of Letters & Science,L&S Undergrad Studies Division,UG Interdisciplinary Studies,Mass Communications,37,33
